sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2466_SP	AR2467_SP	AR2468_SP	AR2469_SP
BRDN0007696622	BRDN0007696622_NegCtrl	559.501382092587	527.8773791831085	552.3577839922363	668.7460523678692	844.3356522755936	597.027599662772	629.9207057064344
BRDN0007696621	BRDN0007696621_NegCtrl	463.4097319825029	473.81172582170996	469.99236501107265	467.4729686455008	297.39757792703097	298.513799831386	138.89555933278524
BRDN0007696620	BRDN0007696620_NegCtrl	891.1725615048132	764.7832420939634	811.3418333659981	1171.9287616737902	716.1470411001493	1067.5663010919059	563.4073392653823
BRDN0007696619	BRDN0007696619_NegCtrl	468.05932795557146	456.1175119943432	461.0765206883694	602.1960811370861	259.7955853155673	517.7612234363587	379.5174438107089
BRDN0007696618	BRDN0007696618_NegCtrl	838.9937622514879	792.3075747143117	830.0226500421383	699.5862829382321	555.483981760259	903.9739927097338	1302.8794720511967
BRDN0007696617	BRDN0007696617_NegCtrl	405.0314714317528	347.49469933189727	441.12201196612875	258.08403477303693	256.37722235088876	446.9274404255214	373.64861736002786
BRDN0007696616	BRDN0007696616_NegCtrl	733.6029201952665	669.4310898020425	687.3691408788859	860.2801159101231	458.0606372669212	961.3156265756498	1003.5693230664623
BRDN0007696615	BRDN0007696615_NegCtrl	491.8239295956998	468.8966664252192	521.3646108704583	423.64737783498515	427.2953705848146	281.64861340023424	174.10851803687163
BRDN0007696614	BRDN0007696614_NegCtrl	859.6586332429039	779.0369143437866	807.5207572276967	980.3946981315364	699.0552262767567	875.3031757767759	1195.2843204553772
BRDN0007696613	BRDN0007696613_NegCtrl	627.6954563642597	629.6191086904673	596.5124415903858	366.83642678431664	411.9127372437613	468.85218278601866	600.576573453029
BRDN0007696612	BRDN0007696612_NegCtrl	604.4474764989168	606.0268235873116	649.5829435112387	818.0776951296265	769.1316670526662	996.7325180810685	939.0122321089706
BRDN0007696611	BRDN0007696611_NegCtrl	891.1725615048132	863.0844300237787	886.4896640859257	876.511816210314	834.0805633815581	1016.9707417984506	860.7612127665564
