sgRNA	Gene	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693421	Tuba1c	209.0356474139273	236.641222161871	247.05533772927774	185.637187925897	227.59564529961895	189.63486739545374
BRDN0007693420	Tuba1c	88.39815935414836	75.64760380584401	81.71090936571443	81.79064220497442	70.36773574480972	83.48056662517257
BRDN0007693419	Tuba1c	235.03510604750034	285.1332758835659	234.55837512040375	327.1625688198977	315.55531498063107	303.0035381209967
BRDN0007693418	Tuba1c	120.63748805977895	98.92378959225755	123.04701645660525	127.74044119653307	135.23799213455618	122.64428923945107
BRDN0007696183	Tti1	162.2366218734958	163.9031415793287	186.49313431704232	158.98630451079296	152.8299260707586	139.13427770862094
BRDN0007696182	Tti1	372.31224763276606	418.00150308100984	435.47108167845454	412.62919494419674	396.91800943556734	376.17786195293814
BRDN0007696181	Tti1	318.2333736749341	263.7967722460201	265.32012923455505	371.274375851794	358.4356539501245	358.6572492044451
BRDN0007696180	Tti1	153.91679511075245	150.32536653725413	140.35050314581537	163.58128440994884	104.45210774620193	143.25677482591342
BRDN0007696179	Tti1	70.7185274833187	71.76823950810842	74.98177565324383	62.49172662851978	67.06924813177177	78.32744522855698
BRDN0007696178	Tti1	324.4732437469916	269.6158186926235	254.74577625781555	237.10096279644267	275.9734636241756	244.25795419957902
BRDN0007693417	Ttc9c	514.7892809447463	529.5332266409081	501.8011139870933	431.9281105206514	410.11195988771914	446.2603129469102
BRDN0007693416	Ttc9c	179.91625374432547	142.56663794178294	192.2609632134457	202.1791155628581	206.70522375037856	221.58422005447042
BRDN0007693415	Ttc9c	511.66934590871756	543.1110016829826	529.6789536530429	563.3445356365091	560.7428942164524	560.6596079517763
BRDN0007693414	Ttc9c	739.4246035388175	803.0284096312672	801.7282166000685	908.8870240530302	890.5916555202481	836.866914810372
BRDN0007693413	Ttc9c	682.2257945449568	692.4665271458028	697.9072964648079	670.8670652767564	667.3939937046797	614.2520704765784
BRDN0007693412	Ttc9c	576.1480033199787	579.9649625114707	536.4080873655136	380.4643356501057	418.9079268558204	450.38281006420266
BRDN0007696419	Ttc39d	766.4640405177335	798.1792042590977	720.0173072343541	791.2555386346402	782.8410601610082	791.5194465201548
BRDN0007696436	Tspan17	194.4759505791264	218.21424174762694	191.29965839737847	211.36907536116985	207.8047196213912	236.01295996499405
BRDN0007696177	Tsg101	163.27660021883872	198.817420258949	208.6031450865886	244.45293063509206	252.88405033290994	232.92108712702472
BRDN0007696176	Tsg101	635.4267690045252	655.6125663173148	641.1903123168414	766.4426471791985	788.3385395160714	791.5194465201548
BRDN0007696175	Tsg101	77.99837590071914	84.37617347574908	77.86569010144551	122.22646531754603	171.5213558779737	148.40989622252903
BRDN0007696174	Tsg101	608.3873320256093	535.3522730875114	530.6402584691101	536.6936522214052	595.9267620888573	530.7715038514059
BRDN0007696173	Tsg101	119.59750971443601	121.2301343042372	90.36265271031948	128.65943717636424	114.3475705853158	130.889283474036
BRDN0007696172	Tsg101	165.35655690952458	167.78250587706427	170.15095244389946	202.1791155628581	169.3223641359484	193.75736451274622
BRDN0007696171	Tsc2	799.7433475687069	775.8728595471181	809.4186551286064	1055.926380826018	1037.9241022359433	1078.0329961719817
BRDN0007696170	Tsc2	1156.4559200213291	1187.0854751070906	1230.4701645660525	1463.960595871059	1371.071351152777	1375.8834128963629
BRDN0007696169	Tsc2	1366.5315457805993	1385.9028953660395	1334.2910847013131	2470.2611937861934	2625.5961399782127	2753.828074351372
BRDN0007696168	Tsc2	362.9524425246797	403.4538869645014	380.6767071626225	460.4169858954178	465.08675343835176	477.17904132660374
BRDN0007696167	Tsc2	1661.8853958579891	1798.0853520004462	1848.5891612972805	2785.476814868286	2700.361859207073	2760.0118200273105
BRDN0007696166	Tsc2	1201.1749888710747	1149.2616732041686	1164.1401322574138	1662.4637275145924	1629.4528808407501	1680.9481995760057
BRDN0007696165	Tsc1	759.184192100333	696.3458914435384	784.4247299108584	994.3536501773294	1085.2024246894873	1065.6655048201042
BRDN0007696164	Tsc1	937.0204891539726	948.5045707963518	878.6326018854469	1627.5418802810077	1537.0952276756873	1536.6608004707691
BRDN0007696163	Tsc1	755.0242787189613	825.3347543432468	842.1030188748922	1249.8345325703956	1320.4945410861949	1409.8940141140256
BRDN0007696162	Tsc1	800.7833259140499	725.4411236765553	712.3268687058163	1101.8761798175767	1140.17721824012	1240.8716323050344
BRDN0007696161	Tsc1	815.3430227488508	767.1442898772129	842.1030188748922	1188.261801921707	1244.6293259863219	1175.9423027076778
BRDN0007696160	Tsc1	515.8292592900892	482.0110139936471	543.1372210779841	790.3365426548089	737.7617294494894	681.2426486325811
BRDN0007693411	Trpm8	457.5904719508856	437.3983245696878	450.85195873553016	446.63204619795016	474.9822162774656	462.75030141608005
BRDN0007693410	Trpm8	770.6239538991051	715.7427129322164	687.3329434880684	664.4340934179382	727.8662666103755	760.6007181404613
BRDN0007693409	Trpm8	441.9907967707418	398.6046815923319	441.23891057485787	367.59839193246927	306.75934801252987	466.87279853337253
BRDN0007693408	Trpm8	266.234456407788	306.4697795211116	290.314054452303	279.37477786867663	270.47598426911236	289.6054224897962
BRDN0007693407	Trpm8	334.87302720042084	367.5697672104472	353.7601723127401	397.925259266898	371.62960440227636	390.6066018634618
BRDN0007693406	Trpm8	474.2301254763724	493.6491068868539	422.9741190695805	428.2521266013267	400.2164970486053	440.07656727097145
BRDN0007696159	Trmt5	204.8757340325556	190.08885058904391	201.874011374118	182.88019998640345	181.41681871708755	194.78798879206934
BRDN0007696158	Trmt5	388.9519011582528	421.88086737874545	374.9088782662191	481.55389343153473	484.8776791165795	490.5771569578043
BRDN0007696157	Trmt5	272.47432647984556	232.7618578641354	251.86186180961386	212.288071341001	214.40169484746713	217.46172293717794
BRDN0007696156	Trmt5	202.79577734186978	204.63646670555238	160.53790428322716	218.72104319981923	175.9193393620243	193.75736451274622
BRDN0007696155	Trmt5	213.19556079529897	197.8475791845151	189.377048765244	130.4974291360266	155.02891781278393	120.58304068080483
BRDN0007696154	Trmt5	204.8757340325556	271.5555008414913	263.39751960242063	268.3468261107026	219.8991742025304	261.778566948072
BRDN0007696153	Trmt112	193.43597223378347	213.36503637545746	266.2814340506223	291.3217256064819	297.9633810444287	346.28975785256773
BRDN0007696152	Trmt112	69.67854913797576	96.01426636895586	91.3239575263867	128.65943717636424	109.9495871012652	81.41931806652633
BRDN0007696151	Trmt112	135.19718489457983	118.3206110809355	130.73745498514307	141.52538089400068	106.65109948822723	113.368670725543
BRDN0007696150	Trmt112	232.9551493568145	227.91265249196593	255.7070810738828	245.37192661492324	239.6900998807581	216.43109865785482
BRDN0007696149	Trmt112	63.43867906591824	33.944437605186415	62.48481304436985	43.19281105206514	47.27832245354403	47.408716848863435
BRDN0007696148	Trmt112	151.83683842006658	197.8475791845151	132.66006461727753	185.637187925897	180.31732284607492	176.2367517642532
