sgRNA	Gene	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693335	Thrap3	1425.218966922047	1308.5527742026093	1374.1725062473965	1498.36589888764	1435.2670940897208	1532.842163408371
BRDN0007693334	Thrap3	887.5780901227822	814.8559703585439	884.4985611937504	1012.2793171285876	1030.939514846822	1013.508769240705
BRDN0007696087	Thap11	142.8541155656131	109.90021123633751	154.84438635885425	155.61187600867353	137.96960049994644	127.5870968370391
BRDN0007696086	Thap11	436.8678185320494	454.9754858955112	436.53546560208355	516.5672585030194	584.4545576733842	596.6044528154504
BRDN0007696085	Thap11	132.3338512410137	122.99712760128965	114.84768139531255	189.30104504147914	160.96453391660418	221.03116775994096
BRDN0007696084	Thap11	500.5431026019932	510.2103070868311	463.3903960776044	545.4436891025671	484.80984620120074	510.3483873481564
BRDN0007696083	Thap11	194.90173906626285	228.91132081351128	245.1226632765626	282.3473214177994	318.0965789304321	251.58019094627429
BRDN0007696082	Thap11	369.3166476056742	395.7546466800755	387.96803814635433	332.07895189479814	339.17526789570167	316.2722400467448
BRDN0007696081	Tgif2	1029.878507566048	1081.919177974307	1074.768600520313	1254.5204849359043	1147.830426381499	1191.4119042669988
BRDN0007696080	Tgif2	910.8334112613704	867.8130669646547	945.0650001385421	691.4300882447246	800.9901806802446	704.4245346495679
BRDN0007696079	Tgif2	1849.905426762455	1697.4742471270577	1820.421457340626	2038.9968495569492	2128.9475854922293	2023.4235357536058
BRDN0007696078	Tgif2	488.9154420326991	521.0294988665742	514.8147310307294	726.7235034219495	540.3809352914569	593.0104500876465
BRDN0007696077	Tgif2	1239.1763978133415	1132.5985499952087	1163.3327329395838	1466.2809759992538	1525.3305833049635	1647.8502506980965
BRDN0007696076	Tgif2	641.182425678217	637.1934527122366	611.9495859421878	797.3103337763995	712.84293591639	663.0935032798229
BRDN0007694593	Terb2	490.57653639974114	571.1394397411736	508.5295345364586	681.8046113782087	666.8530690830745	681.0635169188425
BRDN0007694592	Terb2	1148.3699057483782	1276.6646300096822	1135.906420964584	1416.549345522255	1452.513294152214	1399.8640624796262
BRDN0007694591	Terb2	1038.7376775236053	1048.8921714887756	1052.4847220406255	1390.8814072115458	1393.1097161591815	1283.0589738259987
BRDN0007694590	Terb2	1379.262022767218	1284.636666057914	1341.603760777084	1280.1884232466132	1201.485271020367	1327.9840079235478
BRDN0007694589	Terb2	987.7974502676503	1035.7952551238234	997.0607165911463	795.7060876319802	946.6247589857437	964.989732415352
BRDN0007694588	Terb2	1074.7280554761824	956.074894641506	1065.0551150291672	1334.73279215687	1475.5082275688717	1313.6079970123321
BRDN0007696354	Tent5c	1307.281266862064	1353.5378347604883	1318.1771192984381	1472.6979605769309	1366.2822938397476	1374.7060433849988
BRDN0007694917	Tent5c	799.5400886695555	874.6462407202819	801.0768622697921	778.0593800433677	852.7287808677246	848.1846437617247
BRDN0007694916	Tent5c	1167.1956419081878	1215.7354973553397	1217.6139753901048	911.2118100301708	1042.4369815551509	934.4407092290187
BRDN0007694915	Tent5c	1115.7017165298853	1085.3357648521207	1099.9093864973963	1256.1247310803235	1214.898982180084	1211.1789192699205
BRDN0007694914	Tent5c	1236.407907201605	1278.9423545948914	1210.7573973963547	1122.9723010935204	1168.9091153467684	1238.1339397284498
BRDN0007694913	Tent5c	833.8693722550904	842.758096527355	816.5041627557296	1273.7714386689358	1214.898982180084	1150.0808728972538
BRDN0007694912	Tent5c	574.7386509965364	540.9595889871536	527.3851240192711	720.3065188442723	691.7642469511204	743.958564655411
BRDN0007693333	Tecr	193.24064469922084	212.39781757074556	218.26773280104177	234.21993708521995	266.3579787429522	291.11422095211736
BRDN0007693332	Tecr	647.2731050240377	694.1365673424633	665.6594468932295	652.9281807786612	676.4342913400152	575.0404364486269
BRDN0007693331	Tecr	333.8799677754446	371.8385385353803	355.39929267604185	444.3761820041502	410.07631259706307	434.8743300642741
BRDN0007693330	Tecr	604.0846514809454	586.5140806913349	582.2377479692711	468.4398741704399	530.7997130345162	472.61135870621524
BRDN0007693329	Tecr	2364.2909824231315	2310.182160548297	2192.962195001043	1398.9026379336426	1504.251894339694	1437.6010911215672
BRDN0007693328	Tecr	255.80853252446997	266.4937764694609	204.55457681354176	206.9477526300916	214.61937855547225	237.20418003505858
BRDN0007690801	Tdo2	715.3779740727603	677.0536329533953	718.797926344792	988.215624962298	938.9597811801912	860.7636533090384
BRDN0007690800	Tdo2	700.9818228917294	614.9856380064482	665.6594468932295	482.87808947021375	525.0509796803518	528.318400987176
BRDN0007690799	Tdo2	884.8095995110455	854.1467194534004	860.5005382156254	880.7311332862038	885.3049365413231	871.5456614924501
BRDN0007690798	Tdo2	1429.0948537784784	1573.9076883794658	1484.4491356468757	1232.0610389140338	1241.7264044995181	1189.614902903097
