sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3
BRDN0007696410	Cbll1	838.7736533037643	914.0493454415799	928.025920116093	767.5461748927568	836.7873396756204	856.5475408873585
BRDN0007691113	Cbfa2t3	874.5477009694237	796.8635319234286	852.5380324160923	1163.7563531360086	1134.4587253309794	1133.9057922223128
BRDN0007691112	Cbfa2t3	1335.7773869445323	1486.4095293618134	1316.5509924741386	1517.3250772185515	1658.6911100684729	1562.9953222287418
BRDN0007691111	Cbfa2t3	973.565154329731	906.6481361667493	923.8028215035056	1140.658898798958	1246.9123599118927	1223.6393441247978
BRDN0007691110	Cbfa2t3	1026.587403548476	1042.9537403115462	1024.629300879031	1426.7119871270456	1364.327184253729	1370.4760654197737
BRDN0007691109	Cbfa2t3	858.5771439758257	809.8156481543822	888.962257949659	760.439265865972	798.7515515085468	747.2357594788766
BRDN0007691108	Cbfa2t3	1063.0002734938794	1180.4928793354818	1138.1250760923187	1069.58980853111	1193.9930024620512	1071.908065453323
BRDN0007690819	Casp8	753.1714678180792	883.210973463119	844.6197225174908	739.1185387856176	669.7606177245578	828.8117157538632
BRDN0007690818	Casp8	1117.9389895518564	984.9776009920399	1021.9898642461638	1176.193443932882	1109.652776526366	1022.962491688331
BRDN0007690817	Casp8	1101.9684325582584	1068.2412053338842	1068.9718363111992	1037.6087179105787	1210.5303016651267	1120.8536392183148
BRDN0007690816	Casp8	855.3830325771061	885.0612757818267	767.0202855111963	1352.0894423458053	1336.2137756085006	1363.9499889177748
BRDN0007690815	Casp8	566.6353621328552	598.8811838217099	650.357186338468	380.219632932986	372.0892320691988	380.1439562414372
BRDN0007690814	Casp8	825.9972077088859	836.9534154954277	888.962257949659	957.6559913592498	914.5126459300752	885.9148851463536
BRDN0007691107	Car2	746.78324502064	754.3065785931526	707.896904934972	543.678540549036	605.2651508325633	649.3446119488927
BRDN0007691106	Car2	1176.071817008553	1163.2233910275436	1134.4298648063047	1250.815988714122	1146.0348347731322	1357.4239124157757
BRDN0007691105	Car2	894.3511916414851	875.1929967487192	911.6614129923166	1268.583261281084	1202.261652063589	1272.5849178897897
BRDN0007691104	Car2	702.7045077183097	720.3843694168457	713.7036655272797	577.4363584262637	562.2681729045671	606.9251146858998
BRDN0007691103	Car2	1605.3603889964656	1548.7030407583045	1614.8073319881278	1819.368710856905	1969.5923350862922	1930.0871254661813
BRDN0007691102	Car2	1305.7527397965682	1239.7025535341265	1229.4495835895225	1559.9665313792602	1404.0167023411102	1541.7855735972453
BRDN0007691101	Car11	1495.482956880512	1534.5173896482124	1481.7797256916228	1853.1265287341328	1938.1714666004489	2006.7685243646686
BRDN0007691100	Car11	813.2207621140075	769.725764582383	764.9087362049025	792.4203564865036	744.1784641383975	675.4489179568884
BRDN0007691099	Car11	758.9208683357745	815.3665551105051	812.4185955965114	762.2159931226682	732.6023546962447	757.024874231875
BRDN0007691098	Car11	1639.8567921026372	1594.3438312864264	1550.9329654727424	1664.7934395243358	1776.105934410309	1920.2980107131827
BRDN0007691097	Car11	1153.0742149377718	1013.9656706517931	1127.56732956085	893.6938101181867	904.5902664082299	947.9126119153434
BRDN0007691096	Car11	753.1714678180792	822.7677643853358	809.7791589636442	806.6341745400731	823.55750031316	823.9171583773639
BRDN0007691095	Capzb	862.4100776542892	743.8215321204759	840.3966239049033	465.5025412544034	428.3160493596555	389.9330709944356
BRDN0007691094	Capzb	1202.2635304780536	1085.5106936418222	1077.4180335363742	401.5403600133404	446.5070784830385	411.1428196259321
BRDN0007691093	Capzb	627.9623009882713	681.528020723985	633.9926792146915	872.3730830378323	940.9723246549961	881.0203277698545
BRDN0007691092	Capzb	857.9383216960817	907.2649036063185	852.5380324160923	600.5338127633144	631.7248295574842	636.2924589448949
BRDN0007691091	Capzb	995.9239341207681	1021.3668799266237	900.5757791342745	373.1127239062012	410.12502023627246	455.19383601442485
BRDN0007691090	Capzb	1041.2803159825862	1024.4507171244697	906.3825397265823	406.87054178342896	368.7817722285837	373.6178797394383
BRDN0007691089	Caprin1	1369.63496777096	1385.8764367120311	1368.283950478335	1821.1454381136011	1898.4819485130677	1703.3059670217187
BRDN0007691088	Caprin1	820.2478071911906	886.9115781005344	856.2332437021063	792.4203564865036	714.4113255728616	781.4976611143709
BRDN0007691087	Caprin1	1117.9389895518564	1078.7262518065609	1067.388174331479	1188.6305347297553	1122.8826158888266	1220.3763058737984
BRDN0007691086	Caprin1	576.217696329014	626.0189511627555	626.6022566426635	426.4145416070871	436.5846989611932	453.56231688892507
BRDN0007691085	Caprin1	601.1317652390268	636.5039976354321	671.4726794014051	630.7381761271497	582.1129319482577	562.874098297407
BRDN0007691084	Caprin1	703.9821522777976	667.9591370534622	708.9526795881188	721.3512662186557	714.4113255728616	753.7618359808755
BRDN0007693777	Camk2n1	1026.587403548476	952.9056941344405	1061.0535264125979	932.781809765503	1119.5751560482115	1042.5407211943277
BRDN0007693776	Camk2n1	641.3775688628936	637.7375325145706	607.5983128860199	653.8356304642002	568.8830925857973	572.6632130504054
BRDN0007693775	Camk2n1	1032.3368040661715	1004.0973916186856	1043.105357309101	1286.350533848046	1217.145221346357	1194.2719998658029
BRDN0007693774	Camk2n1	1400.937259478412	1411.163901734369	1371.979161764349	1559.9665313792602	1524.7389865235612	1497.7345572087527
BRDN0007693773	Camk2n1	736.5620885447373	802.4144388795515	843.563947864344	669.826175774466	729.2948948556297	761.9194316083741
